"date","symbol","rank","buytext","buypoint"
"01/03/11","CTSH","22","Near record high and 3% past 71.39 high handle trigger.","71.39 "
"01/03/11","HIBB","26","29% extended from 28.52 buy point in November breakout.","28.52 "
"01/03/11","IDCC","30","Extended 13% past 36.91 buy point of square-box base.","36.91 "
"01/03/11","SQM","34","Takes new highs after rebound off 10-week line.",
"01/03/11","ENDP","38","Shaping flat base, trying to reclaim 10-week line.",
"01/03/11","SMTC","44","First test of 10-week line since Sept. 20 breakout past 18.90.","18.90"
"01/03/11","SNI","48","Building flat base past 2 months w/ possible 53.44 buy point.","53.44 "
"01/03/11","JNPR","41","2% past 36.10 square-box buy point; volume has been light.","36.10 "
"01/03/11","BBG","45","Four pullbacks to 10-wk since cup w/ handle breakout on 9/29.",
"01/03/11","INFY","49","7% over 71.04 buy point after clearing cup-with-handle base.","71.04 "
"01/03/11","AIXG","43","5% past 35.36 entry in flawed double-bottom with handle.","35.36 "
"01/03/11","SRCL","47","Cleared 80.74 buy point in 3-weeks-tight, but in low volume.","80.74 "
"01/03/11","EW","42","Pauses after clearing flat base; 17% past 69.39 buy point.","69.39 "
"01/03/11","ABX","46","Retreats to 10-week line, shapes square box w/ 55.82 trigger.","55.82 "
"01/03/11","EPB","50","Near 10-week line and forming potential base on base.",
"01/03/12","LQDT","1","Trading2% above 36.22cup-basebuy point.","36.22"
"01/03/12","QCOR","4","Tests10-weekfor 1st time since late-stage-basebreakout.",
"01/03/12","V","7","Up3% from 98.70buy pointfrom three-weeks-tight.","98.70"
"01/03/12","ALXN","2","Holdingabove 70.52buy pointfrom late-stageflat base.","70.52"
"01/03/12","ULTA","5","Threeweeks below10-week line;RSline weakens.",
"01/03/12","SWI","8","9%past25.72double-bottom buypt, was 31%beforeretreat.","25.72"
"01/03/12","ISRG","3","4%over 449.16 flat-basebuy pt,but nobreakout volume.","449.16 "
"01/03/12","MA","6","3%above 362.04buy point; support at10-weekline.","362.04"
"01/03/12","HMSY","9","Extended15%past 27.92cup-with-handlebuy point.","27.92"
"01/03/12","PNRA","10","Seessome volumesupport onrebound from 10-weekline.",
"01/03/12","GOOG","13","1%past636.66 buy pointinfour-weeks-tightpattern.","636.66 "
"01/03/12","DLTR","11","Pushedpast84.09 four-weekstightpattern withlowvolume.","84.09 "
"01/03/12","TDG","14","Inbase onbasewith 102.83entry. Support at10-weekline.","102.83"
"01/03/12","GOLD","12","Consolidatingbelow10-week line;RSline isfading.",
"01/03/12","ROST","15","Extendedafter successfulrebound off10-week line.",
"01/03/12","DG","16","Justabove40.81 buypointinflat base.","40.81 "
"01/03/12","BWLD","19","Passed67.52handlebuy pointinweak trade, backtracks.","67.52"
"01/03/12","FFIV","22","Maybe forminga handlewith117.40 buy pttovery deep base.","117.40 "
"01/03/12","MELI","25","Slipsbelow10-week lineafter pullbackfrom new high.",
"01/03/12","HANS","28","Toomanytests of 10-weekline sinceAugust breakout.",
"01/03/12","NUAN","17","Buildingbase-on-basepattern w/ possible27.07buy pt.","27.07"
"01/03/12","NUS","20","Shapingpotential flatbasewith 51.77buy point.","51.77"
"01/03/12","PRGO","23","Light-volumepullbackto 10-wkavgafter hitting new high.",
"01/03/12","EBIX","26","Atseven-monthhighafter clearinglowhandleindeep base.",
"01/03/12","HUM","29","Potentialbuy zoneafter2nd lightpullbackto 10-weekline.",
"01/03/12","CMG","18","Couldbeetching ahandle,but pattern isthird stage.",
"01/03/12","AAPL","21","Forminglate-stage base.Accumulation inweek ended12/2.",
"01/03/12","PII","24","Findssupportat 200-dayline;possible base-on-base.",
"01/03/12","TSCO","27","Forms7-week cup with handleatopbase; 75.58buy point.","75.58"
"01/03/12","HIBB","30","Sketchesthree-weeks-tight patternwith 47.32buy point.","47.32"
"01/03/12","GWW","31","Stillinbuy rangeafter 2ndbounceoff10-weekline.",
"01/03/12","CVLT","34","10%below47.66buy point,also under 10-weekline.","47.66"
"01/03/12","INT","37","Squarebox forms;also near 42.22cup w/handle entry.","42.22"
"01/03/12","BIIB","40","Formingafirst stage base-on-base pattern.",
"01/03/12","HCP","43","Nearrecord high afterclearing40.97entry insoft trade.","40.97"
"01/03/12","MNTA","47","Moreupweeks than downlately isa plus,butbase isdeep.",
"01/03/12","CXO","32","Maybe workingonnew handleofcup-with-handle base.",
"01/03/12","RGLD","35","Findssupportat 40-weekline but farunder 10-week line.",
"01/03/12","TJX","38","5%past61.38buy pointfrom three-weeks-tight pattern.","61.38"
"01/03/12","FAST","41","Newhighs, lighttrade after2nd bounceoff10-weekline.",
"01/03/12","AAP","44","Backunder 71.10buy pointafterpoking aboveinlow volume.","71.10"
"01/03/12","NTES","46","Rarity:Cup-w-handlewithin cup-w-handle; buypoint@ 48.42.","48.42"
"01/03/12","PCLN","49","RangeboundsinceMay peak;new cup may beforming.",
"01/03/12","CELG","33","Climbsrightside of cupwith 68.35buy point.","68.35"
"01/03/12","SBNY","36","2%past58.84handle trigger;RSline isat new high.","58.84"
"01/03/12","TCBI","39","Atnewhigh and 5%past 29.08handlebuy point.","29.08"
"01/03/12","HLF","42","Beginningtolive below 40-weekline;downtrending.",
"01/03/12","VRSK","45","Makesnew highsagainafter Nov.rebound from 10-weekline.",
"01/03/12","ENDP","48","Buildingnew base,but still hitsresistanceat 40-weekline.",
"01/03/12","ASML","50","Clears42.25buy pointinlowvolume, thendips under entry.","42.25"
"01/04/10","HMIN","1","Support at 10-week line holds as volume dries up.",
"01/04/10","BUCY","5","1% past 55.55 buy point from flat base.","55.55 "
"01/04/10","JST","9","Thin stock pushes to new high ground.",
"01/04/10","MED","2","High-volume downside reversal is no way to test support.",
"01/04/10","MFW","6","Thin stock extended 58% from 24.96 cup w/ handle buy point.","24.96 "
"01/04/10","VIT","3","Slips below 19.90 buy point of handle on light trade.","19.90 "
"01/04/10","TLVT","7","Extended 19% past 32.85 cup-with-handle buy point.","32.85 "
"01/04/10","PCLN","4","Up 4% from 210.50 buy point in short-stroke pattern.","210.50 "
"01/04/10","CAAS","8","Finds support at 10-week but trade is sloppy.",
"01/04/10","GMCR","13","Up 6% past 76.60 buy point from odd double-bottom.","76.60 "
"01/04/10","ABVT","17","Pattern not quite tight enough for three-weeks tight.",
"01/04/10","NEU","10","There hasn't been a high volume week since early Nov.",
"01/04/10","RAX","14","Backtracks in low volume from new high.",
"01/04/10","TSTC","18","Gives up most of early week gains; retacement is in low vol.",
"01/04/10","CTRP","11","In rebound off 10-week line. May also be forming base.",
"01/04/10","GFA","15","Struggling to regain its 10-week average.",
"01/04/10","VPRT","19","Forming square box or potential flat base.",
"01/04/10","ASIA","12","Holds near highs, but well-extended from 10-wk bounce.",
"01/04/10","MELI","16","Up 8% from three-weeks-tight 47.85 buy pt. May be basing.","47.85 "
"01/04/10","SXCI","20","Near high after latest bounce from 10-week average.",
"01/04/10","CACC","23","13% past 37.10 buy pt after breakout from 8-week base.","37.10 "
"01/04/10","TLEO","27","Clears 23.85 dbl-btm buy pt. in soft trade, then builds handle.","23.85 "
"01/04/10","VNR","31","12% above 19.76 buy point in eight week cup base.","19.76 "
"01/04/10","LFT","35","18% past 31.35 buy pt; breakout from cup w/handle base.","31.35 "
"01/04/10","EPAY","39","Holds between highs and 10-week line; possible base forming.",
"01/04/10","ISRG","24","RS line at new highs as stock nears 17-mo. high in soft vol.",
"01/04/10","ININ","28","Retakes 10-week line; may be forming new base.",
"01/04/10","WX","32","Snugs up to 10-week line; may be forming new base.",
"01/04/10","AAPL","36","1% past 208.81 buy pt after clearing 2-month flat base.","208.81 "
"01/04/10","FFIV","40","32% past 40.03 buy pt in three-weeks-tight pattern.","40.03 "
"01/04/10","BIDU","21","Support around 10-week line as it works on base.",
"01/04/10","JCG","25","Holds above 10-week support; RS line moves to new high.",
"01/04/10","GIVN","29","Btw 18.47 buy pt and 10-wk after light-volume pullback.","18.47 "
"01/04/10","CAGC","33","Rebounding on big volume. 34% past 20.89 handle buy point.","20.89 "
"01/04/10","WRLD","37","27% past 28.26 buy pt of cup with long handle.","28.26 "
"01/04/10","CTSH","22","Just below 45.93 buy pt in 5-week flat base.","45.93 "
"01/04/10","SIRO","26","In buy range btw 36.15 buy pt and 10-wk; forming base.","36.15 "
"01/04/10","ULTA","30","Below 19.35 buy pt of 3-weeks-tight pattern.","19.35 "
"01/04/10","LULU","34","4% past flat-base 28.81 buy pt after big-volume breakout.","28.81 "
"01/04/10","TRCR","38","11% past 19.29 buy point from odd double-bottom base.","19.29 "
"01/04/10","WIT","44","5% past 21.25 trigger from three-weeks-tight pattern.","21.25 "
"01/04/10","AIXG","48","Clinging to 10-week line as new base forms.",
"01/04/10","CSKI","41","Thin stock 35% past 16.90 buy point in double btm base.","16.90 "
"01/04/10","NTY","45","Slips back into buying range after rebound from 10-week.",
"01/04/10","APWR","49","Retreating, but still well past 12.49 buy point.","12.49 "
"01/04/10","GIII","47","Rebounding, but volume drops off sharply.",
"01/04/10","BCSI","42","7% past 26.74 buy pt after rebound from 10-week avg.","26.74 "
"01/04/10","HRBN","46","Forming potential square box or flat base.",
"01/04/10","WCRX","43","16% past 24.55 buy point in 7-week cup base.","24.55 "
"01/04/10","CISG","50","Little signs of accumulation as new base takes shape.",
"01/05/09","AFAM","1","Breakout on 10/31 failed; new base is taking shape.",
"01/05/09","AVAV","5","Near 37.70 buy pt of base-on-base pattern.","37.70 "
"01/05/09","ESI","9","Push from cup-with-handle lacks even average volume.",
"01/05/09","EBS","2","Extended 16% past 21.60 buy point from 10-week pullback.","21.60 "
"01/05/09","LPHI","6","Pushes 10% past 39.74 buy point from cup with handle.","39.74 "
"01/05/09","EZPW","3","Has recouped most of Oct-Nov losses to form new cup.",
"01/05/09","SYKE","7","Forming right side of V-shaped, awkward pattern.",
"01/05/09","INT","4","Three week tight emerges as stock climbs higher.",
"01/05/09","TWGP","8","7% past 26.04 buy pt from cup-w-handle; good volume surge.","26.04 "
"01/05/09","VSEC","13","Cleared 40.42 buy pt Friday, but closed below it.","40.42 "
"01/05/09","CPLA","17","Trading tight after pullback above 54.78 buy point.","54.78 "
"01/05/09","ACM","10","Extended 18% past 27.30 buy point from cup with handle.","27.30 "
"01/05/09","HS","14","Push from handle over 19.54 lacks any special volume.","19.54 "
"01/05/09","INSU","18","Eases to 3% past 18.67 buy point after Dec. 5 breakout.","18.67 "
"01/05/09","GTIV","11","Breaks out over 28.36 buy pt, but handle is wedging upward.","28.36 "
"01/05/09","GMCR","15","Remains near 38.54 buy pt from cup-with-handle base.","38.54 "
"01/05/09","SXCI","19","Now 12% above 16.76 cup-with-handle buy point.","16.76 "
"01/05/09","BKR","12","Cup-with-handle buy point is 38.84, but cup is 64% deep.","38.84"
"01/05/09","PETS","16","Finding support at the 10-week after Oct. breakout failed.",
"01/05/09","HMSY","20","Cleared handle with 30.82 buy point but on low volume.","30.82 "
"01/05/09","QSII","24","Quickly builds right side of base as accumulation improves.",
"01/05/09","ASTE","28","Retakes 40-week line. Nearing 34.09 handle buy point.","34.09 "
"01/05/09","NTES","32","Forming possible double bottom with buy point at 23.60.","23.60"
"01/05/09","CELG","36","Trying to turn corner to build right side of consolidation.",
"01/05/09","AXYS","40","Starting rebound after failed December breakout.",
"01/05/09","PNRA","21","Holding just 5% below 56.59 buy point on 15-week base.","56.59 "
"01/05/09","CNQR","25","Climbs right side of 3-mo. consolidation on weak volume.",
"01/05/09","FCFS","33","Broke above 18.34 buy pt in handle but volume is light.","18.34 "
"01/05/09","TDG","37","Caged between 10-wk. support and resistance at 40-wk. line.",
"01/05/09","THOR","22","Just above 31.62 high handle buy point. Near record high.","31.62 "
"01/05/09","CMP","26","Testing 40-week line as its forms right side of deep base.",
"01/05/09","HEI","30","Pokes above 40-wk avg as it tries clearing odd double bottom.",
"01/05/09","NPK","34","Thin stock; 9% above 71.74 buy point on cup-w/handle base.","71.74 "
"01/05/09","NFLX","38","Shapes handle just under 40-wk; clears 29.85 buy point.","29.85 "
"01/05/09","NCIT","23","Thin stock is extended 3% above 30.35 buy point.","30.35 "
"01/05/09","NWPX","27","Rebound gains steam. But hits resistance at 40-week line.",
"01/05/09","ENSG","31","Thin stock nears 17.97 buy point in current base.","17.97 "
"01/05/09","NITE","39","Consolidating below 40-wk avg as it forms new base.",
"01/05/09","MANT","44","Nearing 56.15 buy point in 4 1/2-month pattern.","56.15 "
"01/05/09","SBSI","48","Thin stock retakes 10-and 40-wk lines as base-on-base forms.",
"01/05/09","GILD","41","Forming right side of base. But lacking volume confirmation.",
"01/05/09","STRA","45","In fifth week of possible new base after breakout fails.",
"01/05/09","LHCG","49","Slips to 10-week line for third time since breakout.",
"01/05/09","SXE","43","May be forming handle in yearlong cup w/handle.",
"01/05/09","AAON","47","Lows become higher, but highs stay around 20.",
"01/05/09","MCD","42","Barely takes out 64.09 buy pt from cup-w-handle; low volume.","64.09 "
"01/05/09","HOMB","46","Trading range bound after wild September, October.",
"01/05/09","HANS","29","Forming right side of base after year-long correction.",
"01/05/09","SNDA","35","Takes out 30.74 buy point, but volume is sketchy.","30.74 "
"01/05/09","APEI","50","Has yet to begin right side of new base.",
"01/06/14","QIWI","1","10%extendedfrom 50.75buy pointinascending base.","50.75"
"01/06/14","FB","4","Stillplayingagame of seesawover and under 54.93entry.","54.93"
"01/06/14","GNRC","7","Upmore than 25%past44.34 entryfrom Octoberbreakout.","44.34 "
"01/06/14","NUS","2","Losesgripon132.77 three-weeks-tightbuy point.","132.77 "
"01/06/14","JAZZ","5","Nonew entry insight afterlengthyrun-up.",
"01/06/14","YNDX","8","2%past41.90buy pointfrom 2ndstage cup w/ handlebase.","41.90"
"01/06/14","QIHU","3","Workingonsloppy,third-stagebase; stuck 10-weekline.",
"01/06/14","SAVE","6","Underaccumulation,rebounding off10-weekline.",
"01/06/14","NOAH","9","Correctingbut noproperbase formingso far.",
"01/06/14","XRS","10","Fading,but still4% past20.54flat-base buypoint.","20.54"
"01/06/14","ACT","13","Afterbig run,just above166.42 three-weeks-tightbuy point.","166.42 "
"01/06/14","HLF","11","Up5% past73.28handlebuy pointof double-bottom.","73.28"
"01/06/14","AWAY","14","24%past32.68double-bottomentry; inprofit-takingzone.","32.68"
"01/06/14","DDD","12","Snubslate-stage signals;charges tonew highs.",
"01/06/14","WX","15","Eases,but still extendedafter surgeoff10-weekline.",
"01/06/14","SLXP","16","Clears90.83buy pointfrom 3rd-stageflatbase.","90.83"
"01/06/14","UA","19","Inbuy rangeafter clearing83.92entryin cupwith handle.","83.92"
"01/06/14","FLT","22","Forminganatypicalascending base with124.06 buy point.","124.06 "
"01/06/14","ALGN","25","Buypointat 58.60from resistanceareawithin base.","58.60"
"01/06/14","EDU","28","Nearlyextended from bounceoff10-weekmoving average.",
"01/06/14","AMBA","17","Way extendedafterrecent 3-weeks-tightbreakout.",
"01/06/14","LVS","20","Justabove78.23 buypointfrom three-weeks-tight pattern.","78.23 "
"01/06/14","URI","23","29%past59.94flatbase buypoint; inprofit-takingzone.","59.94"
"01/06/14","SSYS","26","Low-volume,late-stagebreakout over 134.10.","134.10"
"01/06/14","MA","29","Wellextended afterSept.breakout from flatbase.",
"01/06/14","PCLN","18","Thirdtest of 10-weekline isnot ideal buyarea.",
"01/06/14","CELG","21","3rdpullback to10-week lineis notaproper entry.",
"01/06/14","INVN","24","Maybe buildingrightside ofbase.",
"01/06/14","VRX","27","Inbuyingrange after3rd-stage, flat-basebreakout.",
"01/06/14","PII","30","Newhighs butextended aftermanytests of 10-weekline.",
"01/06/14","WDR","31","Formingaflat basewith buypoint at66.19.","66.19"
"01/06/14","NTES","34","Up4% from 74.91buy pointof double-bottombase.","74.91"
"01/06/14","CMG","37","Formingflatbase withpotentialbuy pointat 537.10.","537.10"
"01/06/14","LPLA","40","Well-extendedfrom bounceoff 10-weekmoving average.",
"01/06/14","SLCA","43","Workingthroughchoppy consolidation.",
"01/06/14","AKRX","32","Farextended afterAugustbreakout over 15.59buy point.","15.59"
"01/06/14","WWWW","35","Formscup with handlewith 32.58buy point.","32.58"
"01/06/14","LOPE","38","Resistanceat10-weekline aspotentialbase forms.",
"01/06/14","BIIB","41","Formingascending basewith 298.92 buy point.","298.92 "
"01/06/14","SPR","44","Up2% from a3-weeks-tight entryat 33.23.","33.23"
"01/06/14","ALXN","46","Justinbuy range;4% above 126.49flat-base entry.","126.49"
"01/06/14","HTZ","49","Up5% from 27.60buy pointof odddouble bottom.","27.60"
"01/06/14","LL","47","Nicesupport atlong-term 40-weekline; newbase forming.",
"01/06/14","KORS","33","Holding10-week lineafter recentbreakout over 78.72","78.72"
"01/06/14","GNTX","36","Pullsback to2% above31.59 buypointfrom flatbase.","31.59 "
"01/06/14","TSCO","39","Just2%above 75.01buy pointof flatbase.","75.01"
"01/06/14","WYNN","42","13%past173.48 flat-basebuy point.","173.48 "
"01/06/14","BIDU","45","Choppyrally;hits20%-25%profitrule from 143.22 entry.","143.22 "
"01/06/14","ARMH","48","Extended6% past50.51cup w/ handlebuypoint.","50.51"
"01/06/14","ENDP","50","Consolidatinggains aftersharp rebound off10-week line.",
"01/07/13","DDD","1","31%above44.90entry; foundtractionafter choppy start.","44.90"
"01/07/13","SWI","4","Inlate-stage cup withhandlewith 57.24buy point.","57.24"
"01/07/13","KORS","7","Clearresistanceat 10-weekline asit tries toform base.",
"01/07/13","FLT","2","Extendedpastany buyingrangeafter hitting new high.",
"01/07/13","SODA","5","Extended13%above 43.10cup-with-handleentry.","43.10"
"01/07/13","RMD","8","Justpast42.40entry afterbounceoff 10-weekline.","42.40"
"01/07/13","CVLT","3","Inbuy rangefrom 70.02buy pointinascending base.","70.02"
"01/07/13","SSYS","6","Extendedfrom 69.18entry and rally off10-weekline.","69.18"
"01/07/13","ARMH","9","Extended31%past 29.29buypoint from Octoberbreakout.","29.29"
"01/07/13","OCN","10","Afterupper-channelsell sign,formingthird-stage base.",
"01/07/13","POL","13","10%past21.10buy pointfrom 5-weeks-tightpattern.","21.10"
"01/07/13","STX","11","Strongaccumulation asstock climbs rightsideof longbase.",
"01/07/13","XXIA","14","8%above 16.23buy pointfrom cup-with-handleonvolume.","16.23"
"01/07/13","QIHU","12","Newhigh, 30%past24.40 buypoint; topnotchRS line.","24.40 "
"01/07/13","HTZ","15","14%past15.27buy pointfrom double-bottombase.","15.27"
"01/07/13","LMCA","16","6%past113.44 buy pointincup with handle.","113.44 "
"01/07/13","AIRM","19","Retreatsafterclearing38.89cup buy point.","38.89"
"01/07/13","TRMB","22","Newhigh, 15%over 54.09cup-with-handlebuy point.","54.09"
"01/07/13","RGR","25","Retakes10-weekline afterdiving 16%below 48.16entry.","48.16"
"01/07/13","HDB","28","Highvolume inretreat notideal.Still above39.42entry.","39.42"
"01/07/13","V","17","Atnewhigh, extended from bounceoff10-weekline.",
"01/07/13","OPEN","20","Breaksout from longbase-within-base.",
"01/07/13","IPGP","23","Paringgains,but still 4%past61.61 double-bottomentry.","61.61 "
"01/07/13","TDG","26","Tryingtobreak outpast 140.59entry from consolidation.","140.59"
"01/07/13","MYL","29","Findssupportat 10-weekline;inadd-on buy range.",
"01/07/13","GNRC","18","Reboundsfrom 10-wk. inlighttrade.Forming 3rd-stagebase.",
"01/07/13","WOR","21","9%above 24.94cup-basebuy point.","24.94"
"01/07/13","SLCA","24","12%above15.32entry after testing10-weeksupport.","15.32"
"01/07/13","WDC","27","Climbingrightsideof cup base asvolume picksup.",
"01/07/13","ALK","30","Now5% past43.17three-weeks-tightentry.","43.17"
"01/07/13","TRIP","31","Etchesdeepcup base, thenadds choppy handle.",
"01/07/13","NSR","34","4%above 41.41trigger afterfinding support near50-day.","41.41"
"01/07/13","EBAY","37","Extendedfrom latestbuy pointbut findssupport at10-week.",
"01/07/13","VRX","40","3%above 59.10buy pointfrom double-bottombase.","59.10"
"01/07/13","ODFL","43","1%pastflatbase buy pointof 35.23.","35.23"
"01/07/13","EMN","32","Atnewhigh, extended 14%above 61.58flat-baseentry.","61.58"
"01/07/13","INGR","35","Justabove66.47 buyptin3-weeks-tight pattern.","66.47 "
"01/07/13","BCEI","38","13%above26.70cup-without-handle buypoint.","26.70"
"01/07/13","CTRX","41","Formingflatbase w/possible 53.23buy ptasit regains10-wk.","53.23"
"01/07/13","FET","44","2%over 25.92buy pt;breakout from cup w/handle base.","25.92"
"01/07/13","DISCA","46","6%above cup base's 62.46buypoint, but volumesketchy.","62.46"
"01/07/13","ANN","49","Muchofits baseforming below10-weekline, a weakness.",
"01/07/13","KMX","47","Strongrebound off10-weekline but nowextended.",
"01/07/13","ELLI","33","Reverseslowerafter clearing28.96cup-with-handleentry.","28.96"
"01/07/13","TSM","36","14%past15.74buy pointincup-with-handlebase.","15.74"
"01/07/13","PII","39","Formsflatbase; 88.22may becomeearlybuy point.","88.22"
"01/07/13","MA","42","Leapsoff10-wk line;5%past base-on-base486.18 entry.","486.18 "
"01/07/13","SHW","45","Inbase-on-base patternwith 159.90 buypoint.","159.90 "
"01/07/13","DNKN","48","Edgespast33.59 cup-with-handleentryin meektrade.","33.59 "
"01/07/13","PIR","50","Shapeseight-weekconsolidation with 21.34buy point.","21.34"
"01/09/12","LQDT","1","3%above 36.22buy pointafterbreakoutfrom 10-wk cup base.","36.22"
"01/09/12","ULTA","4","Regains10-wk; formingbase-on-base patternw/ 75.80buy pt.","75.80"
"01/09/12","GOLD","7","Consolidatingunder 10-weekline asit forms newbase.",
"01/09/12","ALXN","2","Nearly6% above70.52 buypointin late-stageflatbase.","70.52 "
"01/09/12","AAPL","5","Nearing426.80buy point. Butit'sa late-stagepattern.","426.80"
"01/09/12","MA","8","Fallsbelow362.04 buypt; breaks below10-wkinheavy trade.","362.04 "
"01/09/12","QCOR","3","Slicingthrough 10-weekline with bigvolume does damage.",
"01/09/12","CXO","6","Goodweek,justshy of risingpast102.07 handlebuy point.","102.07 "
"01/09/12","SWI","9","7%past25.72double-bottom buypt, was 31%beforeretreat.","25.72"
"01/09/12","V","10","Up2% from 98.70buy pointfrom three-weeks-tight.","98.70"
"01/09/12","DLTR","13","Formedsix-weekflatbase w/84.09buy pt.","84.09"
"01/09/12","HMSY","11","Tradestight,12% past27.92cup-with-handlebuy point.","27.92"
"01/09/12","GOOG","14","2%past636.66 four-weeks-tightpattern trigger.","636.66 "
"01/09/12","ROST","12","Bagsnew high inhealthytrade after reboundoff 10-week.",
"01/09/12","TDG","15","Inbase onbasewith 102.83buy pt; supportat 10-weekline.","102.83"
"01/09/12","PII","16","Octoberbreakout failed;now consolidatingunder 10-wk line.",
"01/09/12","NUAN","19","About3% past25.92buy pointinnine-week cup with handle.","25.92"
"01/09/12","HUM","22","Potentialbuy zonein2ndlightpullback to 10-weekline.",
"01/09/12","CVLT","25","Consolidatingunder 10-weekline afterfailed breakout.",
"01/09/12","SBNY","28","4%past58.84entry insloppycup with handle;strong RS line.","58.84"
"01/09/12","DG","17","Tradingtightly justabove40.81 buypointfrom flat base.","40.81 "
"01/09/12","EBIX","20","Movingsidewaysafterclearinglowhandlein deepbase.",
"01/09/12","LULU","23","Consolidatingsince lateJuly; maybe buildinglater-stage base.",
"01/09/12","RGLD","26","Stage-threepattern islooking ugly; noaccumulation.",
"01/09/12","NUS","29","Tradingin flatbasewith potential51.77buy point.","51.77"
"01/09/12","CMG","18","2%past341.38 buy pointfrom late-stagecup with handle.","341.38 "
"01/09/12","HANS","21","Shapednine-week cup with handlewith98.46buy point.","98.46"
"01/09/12","AH","24","Formingstage-one base, butpattern isdeep.",
"01/09/12","AAP","27","Clears71.10buy point;undercut resetsto stage1.","71.10"
"01/09/12","HIBB","30","Firsttest of 10-weekline since breakout from cup.",
"01/09/12","GWW","31","Stillinbuy rangeafter 2ndbounceoff10-weekline.",
"01/09/12","FAST","34","Newhighs, lighttrade afterbounceoff 10-weekline.",
"01/09/12","INT","37","3%over 42.22buy pointin9-month cup withhandlebase.","42.22"
"01/09/12","CELG","40","Dropssharplyinfast trade afteredging over 68.35entry.","68.35"
"01/09/12","NOG","43","Maybe formingbase-on-base patternwith 27.80buy point.","27.80"
"01/09/12","JAZZ","46","Bigweekly gaingivesbase's rightsideshapefast.",
"01/09/12","ENDP","49","Consolidatingbelow40-wk lineas itforms 1st stage base.",
"01/09/12","HCP","47","Nearrecord high afterclearing40.97entry insoft trade.","40.97"
"01/09/12","TJX","32","Hitsnew highafter finding consistentsupport at10-week.",
"01/09/12","AUY","35","Cup-with-handlebreakout fails,fallsback to 200-daytest.",
"01/09/12","BIIB","38","Formingafirst stage base-on-base pattern.",
"01/09/12","MELI","41","Findssupportat 40-weekafter 15%pullbackfrom new high.",
"01/09/12","VRSK","44","Secondpullback to 10-weeklinesince breakout inearlyNov.",
"01/09/12","TCBI","33","9%past29.08buy ptafter breakout from cup w/handle.","29.08"
"01/09/12","PRGO","36","Findssupportat 10-weekmoving average.",
"01/09/12","HLF","39","Beginningtolive below 40-weekline.",
"01/09/12","TSCO","42","Spentlast three weeks below10-weekline.",
"01/09/12","INTC","45","7.5%past23.49double-bottom entry;base-on-baseforming.","23.49"
"01/09/12","NTES","48","Rarity:Cup-w-handlewithin cup-w-handle; buypointof 48.42.","48.42"
"01/09/12","ASML","50","Clears42.25buy pointinlowvolume, thendips under entry.","42.25"
