date,symbol,rank,buytext,buypoint
5/5/2014,ACT,4,Forminglater-stage basewith potentialentryat 230.87.,230.87
5/13/2013,ACT,23,Extendedafter shooting 31%past91.57flat-baseentry.,91.57
5/20/2013,ACT,21,Hugerun but extended37% past91.57flat-baseentry.,91.57
5/28/2013,ACT,24,39%past91.57flat-baseentry. Strong volume.,91.57
6/3/2013,ACT,24,Stillunder accumulationbut 35%past 91.57flat-baseentry.,91.57
6/9/2014,ACT,16,Formslate-stage cup-with-handlebase with216.80 buy point.,216.8
6/10/2013,ACT,22,"Offhighs,but still 36%past91.57flat-base entry.",91.57
6/16/2014,ACT,14,"Formslate-stage, cup-with-handlebase with216.80 buy pt.",216.8
6/17/2013,ACT,23,38%past91.57flat-baseentry. Well above 10-weekavg.,91.57
6/23/2014,ACT,10,Justabove216.80 buy pointof cup-with-handle.,216.8
6/24/2013,ACT,29,33%past91.57flat-baseentry. Nearing10-week line.,91.57
6/30/2014,ACT,5,Up3% past216.80 late-stagecup w/handle entry.,216.8
7/1/2013,ACT,27,Formingflatbase withpossible buypoint at133.10.,133.1
7/8/2013,ACT,27,Formsflatbase with possiblebuy pointat133.10.,133.1
7/15/2013,ACT,35,Flatbasetakesshapewith buy pointat133.10.,133.1
7/22/2013,ACT,36,Flatbasetakesshapewith buy pointat133.10.,133.1
7/29/2013,ACT,18,Slightlybelow flatbasebuy pointof 133.10.,133.1
8/5/2013,ACT,15,Up2% from flatbase's 133.10 buypoint.,133.1
8/12/2013,ACT,25,"Afractionabove 133.10flat-base entry,going sideways.",133.1
8/19/2013,ACT,19,1%past133.10 buy pointfrom flatbase.,133.1
8/26/2013,ACT,23,1%past133.10 buy pointfrom flatbase. Movingsideways.,133.1
9/3/2013,ACT,15,Nearly2% above133.10 entry inflatbase. Stilltrading tight.,133.1
9/9/2013,ACT,19,Slipsinsoft trade to3% above 133.10flat-base entry.,133.1
9/16/2013,ACT,25,Sluggishbreakout over 133.10 sofar; 2%above buy point.,133.1
9/23/2013,ACT,32,Sluggishbreakout over 133.10 sofar; 2%pastentry.,133.1
9/30/2013,ACT,29,Breakoutgains traction; 9%past 133.10flat-base entry.,133.1
10/7/2013,ACT,29,Breakoutgains traction; 10%past133.10 flat-baseentry.,133.1
10/14/2013,ACT,29,Firmsup at 10-weekline;7% past133.10 flat-baseentry.,133.1
10/21/2013,ACT,25,Supportat10-week line;10%past133.10 flat-baseentry.,133.1
10/28/2013,ACT,24,Supportat10-week line;11%past133.10 flat-baseentry.,133.1
11/4/2013,ACT,6,Strikesnew high and19% past133.10 flat-baseentry.,133.1
11/18/2013,ACT,5,"Morethan 20%past133.10 buypoint, inprofit-takingzone.",133.1
11/25/2013,ACT,6,"Morethan 20%past133.10 buypoint, inprofit-takingzone.",133.1
12/2/2013,ACT,6,Shapesthree-weeks-tight patternwith 166.42 buypoint.,166.42
12/9/2013,ACT,9,Barelyclears 3-weeks-tightbuy pointof 166.42.,166.42
12/16/2013,ACT,14,Falls4%below166.42 buy pointof 3-weeks-tight.,166.42
12/23/2013,ACT,14,Stillbelow166.42 3-weeks-tightentry despite support.,166.42
12/30/2013,ACT,15,"Justbelow166.42 buypoint, but supportat 50-dayline.",166.42
8/22/2011,ACTG,50,Wellbelow39.46cup w/ handlebuy pt;support at 200-day.,39.46
6/30/2014,ADS,49,Newbase continuestobuild; 300.58potentialentry.,300.58
8/3/2009,ADVS,49,Just above 36.05 buy point for base that corrected just 17%.,36.05
9/16/2013,ADVS,17,Formingflatbase with31.32buy point.,31.32
9/23/2013,ADVS,14,Rallies2%past31.32 flatbasebuy point.,31.32
9/30/2013,ADVS,19,"Inbuyingrange, 2% above31.32flat-base entry.",31.32
10/7/2013,ADVS,18,"Inbuyingrange, about4% past31.32flat-baseentry.",31.32
10/14/2013,ADVS,15,Retakes31.32flat-basebuy pointinlow volume.,31.32
6/15/2009,ADY,37,Has more than doubled since passing its 18.74 buy pt.,18.74
6/22/2009,ADY,45,18% past 35.75 buy pt; breakout from high tight flag.,35.75
5/19/2014,AET,47,First-stagebaseforms with 76.81entry.,76.81
11/3/2008,AFAM,2,Broke out of cup-with-handle 10/30 over 42.90. Extended 12%.,42.9
11/10/2008,AFAM,1,Extended 20% from cup-with-handle breakout over 42.90.,42.9
11/17/2008,AFAM,1,Extended 8% from 42.90 buy pt in cup with handle base.,42.9
3/8/2010,AFL,45,Formed distribution-filled cup base with 52.26 buy point.,52.26
3/29/2010,AFL,44,3% past potential 52.26 buy pt after low-volume move.,52.26
4/5/2010,AFL,46,5% past potential 52.26 buy pt after low-volume move.,52.26
4/7/2014,AFOP,27,Climbsover 40-weekline;could offerearly entryat 17.91.,17.91
4/21/2014,AFOP,22,Deepbasecontinuesto form;17.91early entry.,17.91
4/28/2014,AFOP,13,23%offhigh asdeepbase forms;above 17.91earlyentry.,17.91
5/5/2014,AFOP,8,Extendedpast17.91 entryindouble-bottom pattern.,17.91
5/12/2014,AFOP,7,"Erases15%gainfrom 17.91buy point,a sell signal.",17.91
5/19/2014,AFOP,7,3%past17.91buy pointafter triggeringsell signal.,17.91
5/27/2014,AFOP,8,Extendedpast17.91 buyptdespite triggeringsell signal.,17.91
6/2/2014,AFOP,9,Extendedpast17.91 buypointfrom wild double-bottom base.,17.91
6/9/2014,AFOP,9,Extendedpast17.91 entryinwild double-bottombase.,17.91
6/16/2014,AFOP,10,1sttest of 10-weekavg. afterclearing17.91entry.,17.91
6/23/2014,AFOP,25,Mostgains past17.91buy pointnow gone.,17.91
6/30/2014,AFOP,28,Sellsignal: round-tripsgainfrom 17.91entry.,17.91
5/5/2014,AFSI,31,Breaksout topast39.74cup-with-handle buypoint.,39.74
5/12/2014,AFSI,21,9%past39.74cup w/ handleentry. Holdsonto big gain.,39.74
6/2/2014,AFSI,47,Slidesbelow44.85three-weeks-tightentry inheavy trade.,44.85
6/24/2013,AFSI,48,Fivestraightweeklygains; justbelow36.51buy point.,36.51
7/8/2013,AFSI,36,Extended8% past36.51cup entry.,36.51
7/15/2013,AFSI,43,Extended8% past36.51cup baseentry.,36.51
7/22/2013,AFSI,28,Extended13%past 36.51cup baseentry.,36.51
8/19/2013,AFSI,25,Extended10%past 36.51cup baseentry.,36.51
8/26/2013,AFSI,34,Extended14%past 33.20buypoint from cup-shapedbase.,33.2
2/13/2012,AGO,43,8%past16.22buy pointincup with handle.,16.22
5/16/2011,AGP,9,Formsthree-weeks-tight withpotential 70.85buypoint.,70.85
5/23/2011,AGP,3,Cleared70.85buy pointof 3-weeks-tightbut now belowit.,70.85
5/31/2011,AGP,4,"Clears70.85buy pointof 3-weeks-tight,dips back belowit.",70.85
6/6/2011,AGP,4,Slippingafterpassing 70.85buy pointinthree weeks tight.,70.85
7/5/2011,AGP,2,Volumekicks inafterstock clears 71.81buypoint.,71.81
7/11/2011,AGP,3,3%past71.81buy pointsquare-box-likepattern.,71.81
7/25/2011,AGP,3,1%above 71.81square-box buypoint.,71.81
8/9/2010,AGP,38,Clears cup base w/ 37.84 buy point in strong volume.,37.84
8/16/2010,AGP,21,"Trades tight, 1% above 37.84 buy pt; breakout from cup base.",37.84
8/23/2010,AGP,37,Formed three-weeks-tight pattern with 39.45 buy point.,39.45
9/7/2010,AGP,46,Still 4% below 39.45 buy point from four-weeks-tight.,39.45
9/13/2010,AGP,37,Forming flat base or high handle with 39.45 buy pt.,39.45
9/27/2010,AGP,48,Passed 39.45 buy pt in cup w/high handle in strong volume.,39.45
7/23/2012,AGU,42,Bigvolume camelate; 7%extended from 89.45buypoint.,89.45
4/18/2011,AH,34,Thinstock is still 39%past19.213-weeks-tightbuy point.,19.213
4/25/2011,AH,43,Thinstock is still 38%past19.213-weeks-tightbuy point.,19.213
1/7/2013,AIRM,19,Retreatsafterclearing38.89cup buy point.,38.89
1/14/2013,AIRM,5,Extended6% above38.89 buypointof cup without handle.,38.89
1/22/2013,AIRM,3,Extended12%above 38.89buy pointfrom cup shaped base.,38.89
1/28/2013,AIRM,8,Extended13%above 38.89buy pointfrom cup shaped base.,38.89
2/4/2013,AIRM,4,Extendedfrom 38.89buy pointinsecond-stage cup base.,38.89
2/11/2013,AIRM,5,14%above38.89buy pointfrom 2nd-stage cup base.,38.89
2/19/2013,AIRM,8,11%above38.89buy pointfrom second-stage cup base.,38.89
2/25/2013,AIRM,4,Extendedfrom 38.89buy pointbut neartest of 10-weekline.,38.89
8/24/2009,AIRM,35,16% over 30.10 buy pt after breakout from 13-wk base.,30.1
8/31/2009,AIRM,27,15% past 30.10 buy pt; breakout from 3-mos cup in large base.,30.1
9/8/2009,AIRM,34,14% over 30.10 buy point of 13-week flat base.,30.1
9/12/2009,AIRM,37,14% over 30.10 buy point; possibly forming new base.,30.1
9/14/2009,AIRM,37,14% over 30.10 buy point; possibly forming new base.,30.1
1/3/2011,AIXG,43,5% past 35.36 entry in flawed double-bottom with handle.,35.36
1/10/2011,AIXG,29,6% over 38.10 buy pt; breakout from cup w/handle base.,38.1
1/18/2011,AIXG,26,13% past 38.10 buy point with RS near high; somewhat thin.,38.1
1/24/2011,AIXG,24,"Off highs, but still above 38.10 buy point.",38.1
1/31/2011,AIXG,17,7% above 38.10 buy pt; breakout from cup w/handle.,38.1
2/7/2011,AIXG,25,"Off highs, but still 10% past 38.10 handle buy point.",38.1
2/14/2011,AIXG,18,14%past38.10buy pointafterbreakout from cup-with-handle.,38.1
2/22/2011,AIXG,25,9%past38.10buy pointfrom cup-with-handle base.,38.1
3/15/2010,AIXG,49,Building right side to double bottom; buy point at 36.80.,36.8
4/5/2010,AIXG,3,Breaking out of cup with handle with buy point at 36.65.,36.65
4/12/2010,AIXG,2,Logs weekly downside reversal after clearing 36.65 buy pt.,36.65
4/26/2010,AIXG,3,Shaped three-weeks-tight pattern with 39.06 buy point.,39.06
5/3/2010,AIXG,19,Slices 10-week in heavy trade; 14% below 36.65 buy pt.,36.65
12/13/2010,AIXG,38,Thin stock 2% above high handle buy point of 35.36.,35.36
8/16/2010,AKAM,49,Retakes 10-wk line and nearing 46.09 double- bottom trigger.,46.09
10/4/2010,AKAM,39,"Off highs, but still 7% past 46.09 double-bottom buy point.",46.09
10/11/2010,AKAM,42,Slices 10-week line in big trade. Now below 46.09 buy pt.,46.09
1/6/2014,AKRX,32,Farextended afterAugustbreakout over 15.59buy point.,15.59
2/24/2014,AKRX,43,Rallies1%past26.26 cup entryinheavy volume.,26.26
3/3/2014,AKRX,49,Pullsback under26.26 cup entryinheavy volume.,26.26
5/12/2014,AKRX,32,Formingbasewith 28.10entry. Early entrylacked volume.,28.1
5/19/2014,AKRX,22,Formingcup basewith 28.10buy point.,28.1
5/27/2014,AKRX,33,Clearscup basewith 28.10buy pointinmediocre trade.,28.1
6/2/2014,AKRX,37,Extendedfrom 25.19buy pointof cup-with-handlebase.,25.19
6/9/2014,AKRX,24,Extended13%from 25.19 cup-with-handlebuypoint.,25.19
6/16/2014,AKRX,26,10%past25.19buy point.But choppy action inrecentweeks.,25.19
6/23/2014,AKRX,24,Extended18%from 25.19 buypoint; nearprofit-taking zone.,25.19
6/30/2014,AKRX,17,Extendedmore than 20%past25.19 buypoint.,25.19
11/18/2013,AKRX,39,Wellextended from15.59 buypoint& pullbackto 10-week.,15.59
11/25/2013,AKRX,28,Extendedfrom 15.59entry and pullbacknear 10-weekline.,15.59
12/2/2013,AKRX,25,Wellextended afterAugustbreakout over 15.59.,15.59
12/9/2013,AKRX,27,Wellextended afterAugustbreakout over 15.59.,15.59
12/16/2013,AKRX,27,Very muchextended afterAugustbreakout over 15.59.,15.59
12/23/2013,AKRX,26,Resilientbutwell extendedafter Aug. breakout over 15.59.,15.59
12/30/2013,AKRX,33,Farextended afterAugustbreakout over 15.59buy point.,15.59
3/25/2013,AL,45,9%past26.57buy pointinfirst-stage pattern.,26.57
3/31/2014,AL,36,Extendedalmost 9% past33.67flat-basebuy point.,33.67
4/7/2014,AL,34,Extended11%past 33.67flat-basebuy point.,33.67
4/14/2014,AL,29,Extended7% past33.67flat-basebuy point. Tests10-weekline.,33.67
4/21/2014,AL,34,Visits10-weekline for 1st time afterbreakout over 33.05.,33.05
5/5/2014,AL,33,Formingpotentialbase with38.25entry.,38.25
5/12/2014,AL,13,Up1% from 38.25flat-basebuy point.,38.25
5/19/2014,AL,13,"Onhold, justabove38.25 flat-basebuy point.",38.25
5/27/2014,AL,26,Pausesafterbreakout; justabove 38.25flat-baseentry.,38.25
6/2/2014,AL,14,2%past40.463-weeks-tight follow-on entry.,40.463
6/9/2014,AL,12,Almost5% past40.463-weeks-tightfollow-on entry.,40.463
6/16/2014,AL,29,"Findssupport, buttrips 8%sell rule from 40.46buy point.",40.46
6/23/2014,AL,26,Reclaims10-weekline and prior38.25buy point.,38.25
6/30/2014,AL,34,Below10-wkline aftererasing 12%gainfrom 38.25entry.,38.25
1/6/2014,ALGN,25,Buypointat 58.60from resistanceareawithin base.,58.6
1/13/2014,ALGN,18,Inbuyingrange; 4% above early58.60flatbaseentry.,58.6
1/21/2014,ALGN,15,Extended9% pastearly58.60flatbase entry.,58.6
1/27/2014,ALGN,19,Bigvolume drop to retest58.60buy point.,58.6
2/3/2014,ALGN,6,Triesto rebound aftertripping 8% sellrule from 58.60.,58.6
2/10/2014,ALGN,28,6%below58.60buy pt; triggered sell rule2/3 at8% below.,58.6
2/18/2014,ALGN,30,Newconsolidation afterfailed breakout over 58.60.,58.6
2/21/2012,ALGN,24,6%past25.68buy pointof flatbase orcup's longhandle.,25.68
2/24/2014,ALGN,34,Newconsolidation afterfailed breakout over 58.60.,58.6
2/27/2012,ALGN,45,4%past25.68buy pointof flatbase orcup's longhandle.,25.68
4/2/2012,ALGN,43,1%below27.85flat-base buypoint.,27.85
4/9/2012,ALGN,47,Slightlybelow 27.85entry;secondstraightweek of lowcloses.,27.85
4/30/2012,ALGN,28,Gapup sends itflying 15%past27.85flat-base buypoint.,27.85
5/7/2012,ALGN,22,13%past27.85buy ptafterbreakout from flatbase.,27.85
