OpenDate,Symbol,BuyPrice,AdjPrice,OrigValue,OrigOutlook,Shares,CurrentDate,CurrentPrice,CurrentValue,Buytext,BuyPoint,Open,GainLoss,TrailStop,TrailMax,Outlook
8/14/2009 0:00,VIT,16.25,16.25,266500,uptrend,16400,8/17/2009 0:00,15.11,247804,Below 15.60 buy pt from pullback; weekly downside reversal.,15.6,closed,-18696,off,0,uptrend
9/2/2009 0:00,ATNI,45.72,41.01,266565,pressure,6500,9/25/2009 0:00,49.62,322530,3% extended past 45.57 buy point from 10-week bounce.,45.57,closed,55965,off,0,uptrend
9/15/2009 0:00,ATW,33.67,33.61,265519,uptrend,7900,10/28/2009 0:00,37.23,294117,Just above 32.09 buy pt after high-volume surge off 10-wk.,32.09,closed,28598,off,0,correction
10/19/2009 0:00,TSRA,30.2,27.82,264290,uptrend,9500,10/27/2009 0:00,25.87,245765,"Easing, now 2% past 29.35 buy point in cup-with-handle.",29.35,closed,-18525,off,0,pressure
12/2/2009 0:00,SIRO,31.75,31.75,263525,uptrend,8300,1/25/2010 0:00,33.16,275228,Shapes high handle with 31.10 buy pt. on cup base.,31.1,closed,11703,off,0,correction
12/3/2009 0:00,MED,29.63,29.65,263885,pressure,8900,12/28/2009 0:00,35.88,319332,Shaped three-weeks-tight pattern with 28.77 buy point.,28.77,closed,55447,off,0,uptrend
3/5/2010 0:00,PCLN,235.31,235.34,258874,uptrend,1100,5/5/2010 0:00,251.49,276639,Falls 3% below 231.59 buy point. Broke out Feb. 18.,231.59,closed,17765,off,0,correction
3/8/2010 0:00,BCSI,31.95,31.95,265185,uptrend,8300,5/5/2010 0:00,30.56,253648,Just below 31.15 buy point in eight week cup.,31.15,closed,-11537,off,0,correction
3/8/2010 0:00,GMCR,92.45,30.59,266133,uptrend,8700,4/20/2010 0:00,28.45,247515,"Triggers 88.75 buy pt from base-on-base, backs off a bit.",88.75,closed,-18618,off,0,uptrend
4/20/2010 0:00,EZPW,22.7,22.7,265590,uptrend,11700,4/30/2010 0:00,21.11,246987,"Coiled in flat base, just below 22.29 buy point.",22.29,closed,-18603,off,0,pressure
6/21/2010 0:00,CACC,49,49,264600,uptrend,5400,6/30/2010 0:00,48.46,261684,Just above 48.39 buy pt after breakout from cup w/ handle.,48.39,closed,-2916,off,0,correction
6/22/2010 0:00,VRX,50.95,17.98,266104,uptrend,14800,6/30/2010 0:00,18.395,272246,Seven weeks into flat base with 50.50 buy point.,50.5,closed,6142,off,0,correction
6/24/2010 0:00,HAS,42.82,37.75,264250,uptrend,7000,6/30/2010 0:00,36.9,258300,"Clears 42.69 buy point, but volume is way too soft.",42.69,closed,-5950,off,0,correction
7/14/2010 0:00,APKT,31.85,31.86,264438,uptrend,8300,7/16/2010 0:00,29.63,245929,Below new 30.77 buy pt after light-volume dip to 10-wk.,30.77,closed,-18509,off,0,uptrend
7/20/2010 0:00,EPB,30.93,24.42,266178,uptrend,10900,8/25/2010 0:00,25.47,277623,Building base-on-base pattern with 30.87 buy point.,30.87,closed,11445,off,0,correction
7/26/2010 0:00,SWKS,19.18,19.08,265212,uptrend,13900,7/30/2010 0:00,17.74,246586,2% past 18.44 trigger in slightly high handle.,18.44,closed,-18626,off,0,uptrend
8/10/2010 0:00,NFLX,124.96,125.01,262521,uptrend,2100,8/25/2010 0:00,120.01,252021,Formed double-bottom base with 124.10 trigger.,124.1,closed,-10500,off,0,correction
9/7/2010 0:00,EGO,19.28,18.7,265540,uptrend,14200,9/28/2010 0:00,17.39,246938,Dips below 19.17 buy point from cup without handle.,19.17,closed,-18602,off,0,uptrend
9/8/2010 0:00,NTAP,46.43,45.5,263900,uptrend,5800,11/9/2010 0:00,55.06,319348,2nd test of 10-wk since 5/27 breakout; new 44.99 buy pt.,44.99,closed,55448,off,0,uptrend
9/27/2010 0:00,MELI,75.08,73.6,264960,uptrend,3600,10/4/2010 0:00,68.45,246420,Forms 3-weeks-tight with possible 74.88 buy point.,74.88,closed,-18540,off,0,uptrend
9/28/2010 0:00,SHOO,40.94,18.193,265617.8,uptrend,14600,11/2/2010 0:00,16.92,247032,May be adding handle w/ 40.27 buy point to cup base.,40.27,closed,-18585.8,off,0,uptrend
10/5/2010 0:00,CXO,68.8,68.85,261630,uptrend,3800,11/17/2010 0:00,75.56,287128,Remains 2% above 66.42 three-weeks-tight buy point.,66.42,closed,25498,off,0,correction
10/5/2010 0:00,NEM,63.66,58.08,261360,uptrend,4500,10/21/2010 0:00,54.01,243045,"Trading tight, just above 63.48 buy point in cup base.",63.48,closed,-18315,off,0,uptrend
1/5/2011 0:00,PCLN,433.6,433.6,260160,uptrend,600,3/8/2011 0:00,464.55,278730,In flat base with 428.20 buy point. Support at 10-week line.,428.2,closed,18570,off,0,correction
1/11/2011 0:00,ABV,30.2,27.71,266016,uptrend,9600,1/14/2011 0:00,25.77,247392,4% past 29.17 flat-base buy point; splits shares 5-for-1.,29.17,closed,-18624,off,0,uptrend
1/13/2011 0:00,ILMN,69.53,69.59,264442,uptrend,3800,3/8/2011 0:00,67.31,255778,Just below 66.69 buy point in 5-weeks-tight pattern.,66.69,closed,-8664,off,0,correction
2/4/2011 0:00,CTSH,75.4,37.71,263970,uptrend,7000,3/8/2011 0:00,37.89,265230,Falls 4% below 74.89 buy point after low-volume breakout.,74.89,closed,1260,off,0,correction
4/1/2011 0:00,HS,39.04,39.02,265336,uptrend,6800,5/5/2011 0:00,41,278800,Easesafterclearing38.85 4-weeks-tightentry.,38.85,closed,13464,off,0,correction
4/27/2011 0:00,SOHU,106.16,106.16,265400,uptrend,2500,4/28/2011 0:00,98.73,246825,Three-weeks-tightpatternappears with buypoint at102.52.,102.52,closed,-18575,off,0,uptrend
4/28/2011 0:00,COH,60.35,56.33,264751,uptrend,4700,5/5/2011 0:00,54.43,255821,Gets closertodouble-bottom potentialbuypoint of58.38.,58.38,closed,-8930,off,0,correction
4/29/2011 0:00,ORCL,36.04,34.79,264404,uptrend,7600,5/5/2011 0:00,33.87,257412,Edgespast34.53 buypointin cup withhigh handle.,34.53,closed,-6992,off,0,correction
4/29/2011 0:00,PPO,61.75,61.77,265611,uptrend,4300,5/3/2011 0:00,57.45,247035,Nearing60.60buypoint incup-with-handlebase.,60.6,closed,-18576,off,0,uptrend
7/6/2011 0:00,AGP,74.83,74.87,262045,uptrend,3500,7/27/2011 0:00,69.63,243705,Volumekicks inafterstock clears 71.81buypoint.,71.81,closed,-18340,off,0,pressure
9/6/2011 0:00,GOLD,109.23,107.28,257472,uptrend,2400,9/7/2011 0:00,99.77,239448,1%over 106.54 buypt; breakout from 11-monthcup base.,106.54,closed,-18024,off,0,uptrend
9/12/2011 0:00,DG,35.71,35.73,264402,uptrend,7400,9/23/2011 0:00,36,266400,Nowjust1.5% above34.27buy pointincup-with-handle base.,34.27,closed,1998,off,0,correction
9/15/2011 0:00,MA,347.782,34.42,265034,uptrend,7700,9/22/2011 0:00,32.01,246477,Reverseslowerafter clearing340.52 buypt. insquarebox.,340.52,closed,-18557,off,0,pressure
9/16/2011 0:00,PRGO,96.36,95.54,257958,uptrend,2700,9/19/2011 0:00,115.6,312120,Reboundingfrom failedbreakout.Back near 94.71buypoint.,94.71,closed,54162,off,0,uptrend
9/16/2011 0:00,TDG,92.34,63.46,266532,uptrend,4200,9/22/2011 0:00,59.02,247884,5%below91.33handle buypoint; baseis V-shaped.,91.33,closed,-18648,off,0,pressure
10/19/2011 0:00,ISRG,417.88,417.62,250572,uptrend,600,11/18/2011 0:00,426.5,255900,Handlebuypoint at402.45.1st stage basethanksto reset.,402.45,closed,5328,off,0,correction
10/20/2011 0:00,TSCO,71.55,35.03,266228,uptrend,7600,11/1/2011 0:00,32.58,247608,Formsfirst-stage cup withhandlewith 70.20buy point.,70.2,closed,-18620,off,0,uptrend
10/31/2011 0:00,HLF,62.351,59.03,265635,uptrend,4500,11/1/2011 0:00,54.9,247050,Breaksout ofdouble bottomwith 60.10buy point.,60.1,closed,-18585,off,0,uptrend
1/6/2012 0:00,AAP,71.52,71,262700,uptrend,3700,2/17/2012 0:00,85.91,317867,Backunder 71.10buy pointafterpoking aboveinlow volume.,71.1,closed,55167,off,0,uptrend
1/10/2012 0:00,CELG,70.26,70.26,259962,uptrend,3700,4/5/2012 0:00,78.89,291893,Dropssharplyinfast trade afteredging over 68.35entry.,68.35,closed,31931,off,0,correction
1/20/2012 0:00,BIIB,118.14,118.14,259908,uptrend,2200,4/5/2012 0:00,127.14,279708,Flirtswithbase-on-base's 117.65 buy point.,117.65,closed,19800,off,0,correction
3/1/2012 0:00,TAL,36.63,31.29,265965,uptrend,8500,4/5/2012 0:00,31.91,271235,12%past35.01cup-with-handlebuy point; onthin side.,35.01,closed,5270,off,0,correction
4/27/2012 0:00,CERN,77.51,38.76,263568,uptrend,6800,5/7/2012 0:00,40.01,272068,Backnear 74.49cup buy point;support at10-week line.,74.49,closed,8500,off,0,correction
5/2/2012 0:00,VRSK,49.17,49.18,265572,uptrend,5400,5/7/2012 0:00,49.03,264762,Lastentryat 47.63from three-weeks-tightpattern.,47.63,closed,-810,off,0,correction
6/19/2012 0:00,ALGN,34.73,34.73,263948,uptrend,7600,6/22/2012 0:00,32.3,245480,7thweek of awkward base; buypointsat 33and 34.39.,34.39,closed,-18468,off,0,pressure
6/19/2012 0:00,BBBY,74.72,74.72,261520,uptrend,3500,6/21/2012 0:00,69.49,243215,Hashadtrouble clearing72.85buy pointfrom aflat base.,72.85,closed,-18305,off,0,uptrend
6/19/2012 0:00,TCBI,40,40,264000,uptrend,6600,6/26/2012 0:00,39.26,259116,Reversesafterclearingbase-on-base entryat 39.41.,39.41,closed,-4884,off,0,correction
6/22/2012 0:00,FDO,70.47,68.19,265941,pressure,3900,6/26/2012 0:00,68.27,266253,Inbuy range: 4.5%past70.10 buypointin aflatbase.,70.1,closed,312,off,0,correction
7/5/2012 0:00,ROST,67.21,65.82,263280,uptrend,4000,7/25/2012 0:00,65.3,261200,Bigsell-off sends it below64.89flat-basetrigger.,64.89,closed,-2080,off,0,correction
7/5/2012 0:00,TFM,57.29,57.29,263534,uptrend,4600,7/20/2012 0:00,53.28,245088,Backabove its10-weekline. Stillbelowprior 55.07entry.,55.07,closed,-18446,off,0,uptrend
7/31/2012 0:00,TFM,58.91,58.89,265005,uptrend,4500,10/11/2012 0:00,58.25,262125,Maybe formingdouble-bottom basewith 57.96buy point.,57.96,closed,-2880,off,0,correction
8/3/2012 0:00,NVO,156.26,30.09,264792,uptrend,8800,10/11/2012 0:00,31.05,273240,"Gapsup, 3%past 149.04handle entryindull turnover.",149.04,closed,8448,off,0,correction
8/7/2012 0:00,CF,205.79,201.41,261833,uptrend,1300,10/11/2012 0:00,211.27,274651,Near202.43 buypt incup-with-handlebase.,202.43,closed,12818,off,0,correction
11/28/2012 0:00,HTZ,15.58,15.57,266247,uptrend,17100,2/1/2013 0:00,18.84,322164,Deepcup evolvesintodouble-bottom basewith 15.27entry.,15.27,closed,55917,off,0,uptrend
11/29/2012 0:00,QIHU,25.1,25.12,266272,uptrend,10600,1/2/2013 0:00,30.4,322240,Fadingafterclearingcup-with-handlebuy pointat 24.40.,24.4,closed,55968,off,0,uptrend
12/11/2012 0:00,NSR,41.98,41.97,264411,uptrend,6300,2/26/2013 0:00,43.83,276129,Climbingrightsideof new cup basewith 41.41buy point.,41.41,closed,11718,off,0,correction
12/11/2012 0:00,RGR,48.73,46.31,263967,uptrend,5700,12/17/2012 0:00,43.07,245499,7%past48.16buy point; price was adjustedfor dividend.,48.16,closed,-18468,off,0,uptrend
1/3/2013 0:00,ALK,44.76,44.24,265440,uptrend,6000,2/26/2013 0:00,49.33,295980,"Backsoff, now1% under 43.17three-weeks-tightentry.",43.17,closed,30540,off,0,correction
2/5/2013 0:00,TRMB,63.5,31.75,263525,uptrend,8300,2/21/2013 0:00,29.53,245099,"Struggles,dips after tryingtoclear 63.423-weeks-tightentry.",63.423,closed,-18426,off,0,pressure
3/11/2013 0:00,JAZZ,59.25,59.25,266625,uptrend,4500,3/27/2013 0:00,55.1,247950,Wobbleswildlysince clearing58.09cup-handle entry.,58.09,closed,-18675,off,0,uptrend
3/13/2013 0:00,TUP,78.02,74.46,260610,uptrend,3500,4/18/2013 0:00,78.16,273560,Rises2% from 77.94buypoint from3-weeks-tight.,77.94,closed,12950,off,0,correction
3/25/2013 0:00,LL,68.96,68.97,262086,uptrend,3800,4/5/2013 0:00,64.14,243732,Sketchesthree-weeks-tight patternwith 68.38buy point.,68.38,closed,-18354,off,0,pressure
5/6/2013 0:00,ALK,66.15,65.39,261560,uptrend,4000,5/20/2013 0:00,60.81,243240,Completesflatbase with64.65 entry;second-stagepattern.,64.65,closed,-18320,off,0,uptrend
5/9/2013 0:00,MDCO,35.77,35.76,264624,uptrend,7400,5/21/2013 0:00,33.26,246124,Formingflatbase withpotentialbuy pointat 35.05.,35.05,closed,-18500,off,0,uptrend
5/13/2013 0:00,OCN,42.49,42.49,263438,uptrend,6200,6/12/2013 0:00,45.57,282534,Clears42.17buy pointbut mostof baseunder 10-weekline.,42.17,closed,19096,off,0,correction
5/29/2013 0:00,FLT,85.91,85.91,266321,uptrend,3100,5/30/2013 0:00,103.95,322245,Three-weeks-tightpatternoffers potentialentry at85.66.,85.66,closed,55924,off,0,uptrend
5/30/2013 0:00,GNRC,39.79,34.93,265468,uptrend,7600,6/12/2013 0:00,36.18,274968,Inthird-stagecup with handlewith 39.48buy point.,39.48,closed,9500,off,0,correction
6/3/2013 0:00,SMTC,36.84,36.84,265248,pressure,7200,6/12/2013 0:00,35.89,258408,"Somewild trading,but holds3% above 35.60cup buypoint.",35.6,closed,-6840,off,0,correction
6/17/2013 0:00,GNRC,34.98,35,266000,uptrend,7600,6/21/2013 0:00,34.23,260148,Slipsto afraction above34.67entry in3rd-stagebase.,34.67,closed,-5852,off,0,correction
6/20/2013 0:00,WWWW,22.95,22.94,266104,uptrend,11600,6/21/2013 0:00,23.08,267728,Shapesthree-weeks-tight patternwith 22.94buy point.,22.94,closed,1624,off,0,correction
6/21/2013 0:00,GNRC,34.85,34.85,264860,correction,7600,6/24/2013 0:00,34.65,263340,Slipsto afraction above34.67entry in3rd-stagebase.,34.67,closed,-1520,off,0,correction
7/17/2013 0:00,PKG,51.68,50.43,262236,uptrend,5200,8/16/2013 0:00,51.53,267956,"3%above 50.88buy point,hitsnew highin healthytrade.",50.88,closed,5720,off,0,correction
7/23/2013 0:00,LOPE,35.76,35.76,264624,uptrend,7400,7/31/2013 0:00,33.26,246124,Easingfrom new high. Still2% past34.17flat-base entry.,34.17,closed,-18500,off,0,uptrend
7/29/2013 0:00,ACT,134.52,134.48,255512,uptrend,1900,8/16/2013 0:00,134.34,255246,Slightlybelow flatbasebuy pointof 133.10.,133.1,closed,-266,off,0,correction
7/29/2013 0:00,DDD,50.38,50.43,262236,uptrend,5200,7/30/2013 0:00,46.9,243880,Etchinglate-stage basewith potentialbuy pointat49.85.,49.85,closed,-18356,off,0,uptrend
9/20/2013 0:00,ADVS,32.06,31.95,265185,uptrend,8300,10/9/2013 0:00,30.93,256719,Formingflatbase with31.32buy point.,31.32,closed,-8466,off,0,correction
9/25/2013 0:00,AMBA,19.07,19.11,265629,uptrend,13900,10/9/2013 0:00,18.89,262571,ShapesV-shapedcup with handlewith 18.45buypoint.,18.45,closed,-3058,off,0,correction
10/23/2013 0:00,ORLY,134.43,134.43,255417,uptrend,1900,10/24/2013 0:00,125.02,237538,4%above late-stageflat-base buypointof 128.55.,128.55,closed,-17879,off,0,uptrend
11/4/2013 0:00,SSNC,41.67,41.64,266496,uptrend,6400,1/30/2014 0:00,38.21,244544,Formingnew basewith potential40.04entry.,40.04,closed,-21952,off,0,correction
11/5/2013 0:00,SSYS,118.39,118.39,260458,uptrend,2200,11/20/2013 0:00,110.1,242220,Volumesoft as stock clears113.04 entryinlatestage base.,113.04,closed,-18238,off,0,uptrend
11/15/2013 0:00,ALXN,123.995,124.03,260463,uptrend,2100,1/30/2014 0:00,155.06,325626,Pullsback to1% below118.39 entryfrom double-bottom base.,118.39,closed,65163,off,0,correction
12/4/2013 0:00,LVS,74.5706,73.23,263628,uptrend,3600,1/30/2014 0:00,72.28,260208,Formingflatbase with73.59buy point.,73.59,closed,-3420,off,0,correction
2/18/2014 0:00,SLXP,103.14,103.14,257850,uptrend,2500,2/19/2014 0:00,95.92,239800,"Justbelow101.92 3-weeks-tight,follow-on buy point.",101.92,closed,-18050,off,0,uptrend
2/19/2014 0:00,SLXP,103.33,103.34,258350,uptrend,2500,2/20/2014 0:00,96.11,240275,"Justbelow101.92 3-weeks-tight,follow-on buy point.",101.92,closed,-18075,off,0,uptrend
2/24/2014 0:00,WX,39.85,39.86,263076,uptrend,6600,3/3/2014 0:00,37.07,244662,Paresgainsafter clearingcup basewith 38.79buy point.,38.79,closed,-18414,off,0,uptrend
3/5/2014 0:00,WX,39.33,39.35,263645,uptrend,6700,3/6/2014 0:00,36.6,245220,Stumblesafter clearingcup basewith 38.79buy point.,38.79,closed,-18425,off,0,uptrend
3/11/2014 0:00,UBNT,49.18,49.18,265572,uptrend,5400,3/26/2014 0:00,45.74,246996,1%above 48.10entryafter support at10-weekline.,48.1,closed,-18576,off,0,pressure
4/7/2014 0:00,FB,56.96,56.95,261970,correction,4600,4/8/2014 0:00,57.68,265328,"Only3%above 54.93buy point,was up 32%inMarch.",54.93,closed,3358,off,0,correction
